2024-09-19 07:07:55,007 - User Statistics:
SQLInjectionUser: Active: 0, Inactive: 45
XSSUser: Active: 0, Inactive: 45
PathTraversalUser: Active: 0, Inactive: 45
CommandInjectionUser: Active: 0, Inactive: 45
BruteForceUser: Active: 0, Inactive: 45
WebScrapingUser: Active: 0, Inactive: 45
DDOSUser: Active: 0, Inactive: 45

2024-09-19 07:08:00,009 - User Statistics:
SQLInjectionUser: Active: 3, Inactive: 2
XSSUser: Active: 3, Inactive: 2
PathTraversalUser: Active: 3, Inactive: 2
CommandInjectionUser: Active: 3, Inactive: 2
BruteForceUser: Active: 3, Inactive: 2
WebScrapingUser: Active: 3, Inactive: 2
DDOSUser: Active: 3, Inactive: 2

2024-09-19 07:08:05,015 - User Statistics:
SQLInjectionUser: Active: 6, Inactive: 4
XSSUser: Active: 6, Inactive: 4
PathTraversalUser: Active: 6, Inactive: 4
CommandInjectionUser: Active: 6, Inactive: 4
BruteForceUser: Active: 6, Inactive: 4
WebScrapingUser: Active: 6, Inactive: 4
DDOSUser: Active: 6, Inactive: 4

2024-09-19 07:08:10,057 - User Statistics:
SQLInjectionUser: Active: 3, Inactive: 7
XSSUser: Active: 3, Inactive: 7
PathTraversalUser: Active: 3, Inactive: 7
CommandInjectionUser: Active: 3, Inactive: 7
BruteForceUser: Active: 3, Inactive: 7
WebScrapingUser: Active: 3, Inactive: 7
DDOSUser: Active: 3, Inactive: 7

2024-09-19 07:08:15,071 - User Statistics:
SQLInjectionUser: Active: 1, Inactive: 9
XSSUser: Active: 1, Inactive: 9
PathTraversalUser: Active: 1, Inactive: 9
CommandInjectionUser: Active: 1, Inactive: 9
BruteForceUser: Active: 1, Inactive: 9
WebScrapingUser: Active: 1, Inactive: 9
DDOSUser: Active: 1, Inactive: 9

2024-09-19 07:08:20,075 - User Statistics:
SQLInjectionUser: Active: 1, Inactive: 9
XSSUser: Active: 1, Inactive: 9
PathTraversalUser: Active: 1, Inactive: 9
CommandInjectionUser: Active: 1, Inactive: 9
BruteForceUser: Active: 1, Inactive: 9
WebScrapingUser: Active: 1, Inactive: 9
DDOSUser: Active: 1, Inactive: 9

2024-09-19 07:08:25,077 - User Statistics:
SQLInjectionUser: Active: 5, Inactive: 5
XSSUser: Active: 5, Inactive: 5
PathTraversalUser: Active: 5, Inactive: 5
CommandInjectionUser: Active: 5, Inactive: 5
BruteForceUser: Active: 5, Inactive: 5
WebScrapingUser: Active: 5, Inactive: 5
DDOSUser: Active: 5, Inactive: 5

2024-09-19 07:08:30,079 - User Statistics:
SQLInjectionUser: Active: 5, Inactive: 5
XSSUser: Active: 5, Inactive: 5
PathTraversalUser: Active: 5, Inactive: 5
CommandInjectionUser: Active: 5, Inactive: 5
BruteForceUser: Active: 5, Inactive: 5
WebScrapingUser: Active: 5, Inactive: 5
DDOSUser: Active: 5, Inactive: 5

2024-09-19 07:08:35,082 - User Statistics:
SQLInjectionUser: Active: 2, Inactive: 8
XSSUser: Active: 2, Inactive: 8
PathTraversalUser: Active: 2, Inactive: 8
CommandInjectionUser: Active: 2, Inactive: 8
BruteForceUser: Active: 2, Inactive: 8
WebScrapingUser: Active: 2, Inactive: 8
DDOSUser: Active: 2, Inactive: 8

2024-09-19 07:08:40,100 - User Statistics:
SQLInjectionUser: Active: 0, Inactive: 10
XSSUser: Active: 0, Inactive: 10
PathTraversalUser: Active: 0, Inactive: 10
CommandInjectionUser: Active: 0, Inactive: 10
BruteForceUser: Active: 0, Inactive: 10
WebScrapingUser: Active: 0, Inactive: 10
DDOSUser: Active: 0, Inactive: 10

2024-09-19 07:08:45,101 - User Statistics:
SQLInjectionUser: Active: 1, Inactive: 9
XSSUser: Active: 1, Inactive: 9
PathTraversalUser: Active: 1, Inactive: 9
CommandInjectionUser: Active: 1, Inactive: 9
BruteForceUser: Active: 1, Inactive: 9
WebScrapingUser: Active: 1, Inactive: 9
DDOSUser: Active: 1, Inactive: 9

2024-09-19 07:08:50,104 - User Statistics:
SQLInjectionUser: Active: 1, Inactive: 9
XSSUser: Active: 1, Inactive: 9
PathTraversalUser: Active: 1, Inactive: 9
CommandInjectionUser: Active: 1, Inactive: 9
BruteForceUser: Active: 1, Inactive: 9
WebScrapingUser: Active: 1, Inactive: 9
DDOSUser: Active: 1, Inactive: 9

